72, 3072, 3098, 15.9 km
72, 3073, 3081, 15.2 km
72, 3074, 3203, 16.3 km
72, 3075, 2981, 14.9 km
72, 3076, 3090, 15.8 km
72, 3077, 3012, 15.1 km
72, 3078, 2879, 14.6 km
72, 3079, 3016, 15.3 km
72, 3080, 2959, 14.6 km
72, 3081, 3092, 15.6 km
72, 3082, 2986, 15.0 km
72, 3083, 3188, 15.9 km
72, 3084, 3122, 15.8 km
72, 3085, 2854, 14.7 km
72, 3086, 3173, 16.0 km
72, 3087, 2928, 15.0 km
72, 3088, 2952, 15.3 km
72, 3089, 3077, 15.7 km
72, 3090, 2923, 15.1 km
72, 3091, 3049, 15.7 km
72, 3092, 2975, 15.3 km
72, 3093, 2925, 15.1 km
72, 3094, 3200, 16.2 km
72, 3096, 2952, 15.3 km
72, 3097, 2707, 11.5 km
72, 3098, 2634, 11.1 km
72, 3099, 2564, 10.9 km
72, 3100, 2574, 10.8 km
72, 3101, 3000, 15.6 km
72, 3102, 2593, 10.9 km
72, 3103, 3111, 16.1 km
72, 3105, 3087, 16.1 km
72, 3106, 2673, 11.4 km
72, 3107, 3143, 16.1 km
72, 3108, 2566, 10.8 km
72, 3109, 2479, 10.4 km
72, 3110, 2436, 10.1 km
72, 3111, 2484, 10.4 km
72, 3112, 2467, 10.1 km
72, 3113, 2387, 9.8 km
72, 3114, 2413, 10.2 km
72, 3115, 2353, 9.5 km
72, 3116, 2333, 9.7 km
72, 3117, 2332, 9.7 km
72, 3118, 2199, 9.0 km
72, 3119, 2044, 8.1 km
72, 3120, 2105, 8.9 km
72, 3121, 1709, 6.7 km
72, 3122, 1950, 8.1 km
72, 3123, 1860, 7.3 km
72, 3124, 1888, 7.7 km
72, 3125, 1798, 7.0 km
72, 3126, 1658, 6.5 km
72, 3127, 1789, 7.2 km
72, 3128, 1613, 6.3 km
72, 3129, 1457, 5.7 km
72, 3131, 1068, 3.6 km
72, 3132, 702, 2.5 km
72, 3134, 927, 3.1 km
72, 3135, 1393, 4.9 km
72, 3136, 856, 2.5 km
72, 3137, 970, 3.4 km
72, 3138, 1113, 4.1 km
72, 3139, 977, 3.6 km
72, 3140, 1325, 4.8 km
72, 3141, 1154, 4.0 km
72, 3142, 1029, 3.5 km
72, 3143, 1248, 4.2 km
72, 3144, 1220, 4.5 km
72, 3145, 1346, 4.9 km
72, 3146, 1566, 5.6 km
72, 3147, 1591, 5.9 km
72, 3148, 1515, 5.4 km
72, 3150, 1507, 5.7 km
72, 3151, 1435, 5.4 km
72, 3153, 1294, 4.5 km
72, 3154, 1208, 4.4 km
72, 3155, 933, 3.0 km
72, 3156, 1298, 4.6 km
72, 3157, 1541, 6.0 km
72, 3158, 579, 2.0 km
72, 3159, 561, 1.6 km
72, 3160, 787, 3.0 km
72, 3161, 631, 2.5 km
72, 3162, 528, 2.2 km
72, 3163, 608, 2.1 km
72, 3164, 577, 2.2 km
72, 3165, 662, 2.4 km
72, 3166, 596, 2.3 km
72, 3167, 599, 2.0 km
72, 3168, 921, 3.6 km
72, 3169, 782, 3.1 km
72, 3170, 819, 3.2 km
72, 3171, 705, 2.8 km
72, 3172, 638, 2.4 km
72, 3173, 337, 1.4 km
72, 3175, 420, 1.7 km
72, 3176, 258, 1.0 km
72, 3177, 686, 2.8 km
72, 3178, 686, 2.7 km
72, 3179, 2987, 14.5 km
72, 3180, 2252, 11.2 km
72, 3183, 1765, 8.7 km
72, 3184, 1708, 8.4 km
72, 3185, 1956, 9.7 km
72, 3186, 1991, 9.6 km
72, 3187, 1975, 9.6 km
72, 3188, 2795, 13.6 km
72, 3189, 2803, 13.7 km
72, 3190, 2590, 12.8 km
72, 3191, 2671, 13.1 km
72, 3192, 2211, 11.0 km
72, 3193, 2719, 13.1 km
72, 3194, 2500, 11.9 km
72, 3195, 2636, 12.6 km
72, 3196, 2824, 13.2 km
72, 3197, 1873, 6.4 km
72, 3198, 1722, 5.7 km
72, 3199, 2164, 10.8 km
72, 3200, 2612, 12.7 km
72, 3201, 2825, 13.0 km
72, 3202, 2123, 10.6 km
72, 3203, 2268, 11.1 km
72, 3205, 2057, 9.9 km
72, 3206, 2469, 11.5 km
72, 3207, 2683, 12.5 km
72, 3209, 2211, 10.6 km
72, 3210, 2873, 13.3 km
72, 3211, 2092, 10.1 km
72, 3212, 2583, 12.0 km
72, 3213, 2035, 10.0 km
72, 3214, 1780, 8.8 km
72, 3215, 2989, 13.8 km
72, 3216, 3080, 15.4 km
72, 3217, 2853, 14.0 km
72, 3220, 2621, 12.1 km
72, 3221, 1939, 7.3 km
72, 3222, 2403, 11.7 km
72, 3223, 782, 2.6 km
72, 3224, 902, 3.7 km
72, 3225, 2434, 11.5 km
72, 3226, 909, 3.3 km
72, 3230, 655, 2.3 km
72, 3231, 978, 3.2 km
72, 3232, 2168, 10.8 km
72, 3233, 561, 2.0 km
72, 3235, 726, 2.7 km
72, 3236, 362, 1.5 km
72, 3237, 1587, 6.2 km
72, 3238, 1528, 5.5 km
72, 3241, 3033, 14.6 km
72, 3242, 2126, 10.4 km
72, 3243, 968, 3.3 km
72, 3244, 1265, 5.6 km
72, 3246, 2077, 10.2 km
72, 3249, 3168, 15.1 km
