2014_01_08_21,21.0,Calm,Overcast
2014_01_08_22,21.9,5.8,Overcast
2014_01_08_23,21.9,4.6,Overcast
2014_01_09_00,21.9,4.6,Overcast
2014_01_09_01,23.0,6.9,Overcast
2014_01_09_02,24.1,-9999.0,Clear
2014_01_09_03,23.0,Calm,Clear
2014_01_09_04,23.0,6.9,Clear
2014_01_09_05,23.0,-9999.0,Clear
2014_01_09_06,21.9,3.5,Clear
2014_01_09_07,21.9,3.5,Clear
2014_01_09_08,23.0,Calm,Clear
2014_01_09_09,25.0,5.8,Clear
2014_01_09_10,26.1,3.5,Clear
2014_01_09_11,28.9,3.5,Clear
2014_01_09_12,30.0,Calm,Clear
2014_01_09_13,30.9,Calm,Clear
2014_01_09_14,32.0,3.5,Clear
2014_01_09_15,30.9,4.6,Clear
2014_01_09_16,30.9,Calm,Clear
2014_01_09_18,30.0,Calm,Clear
2014_01_09_19,30.0,3.5,Clear
2014_01_09_20,28.9,Calm,Clear
2014_01_09_21,28.9,3.5,Clear
2014_01_09_22,30.0,6.9,Scattered Clouds
2014_01_09_23,30.0,4.6,Partly Cloudy
2014_01_10_00,30.9,8.1,Partly Cloudy
2014_01_10_01,32.0,3.5,Mostly Cloudy
2014_01_10_02,30.9,Calm,Overcast
2014_01_10_02,32.0,3.5,Overcast
2014_01_10_03,30.9,3.5,Overcast
2014_01_10_04,30.9,3.5,Overcast
2014_01_10_05,30.9,4.6,Overcast
2014_01_10_06,32.0,3.5,Overcast
2014_01_10_06,32.0,5.8,Overcast
2014_01_10_07,32.0,3.5,Overcast
2014_01_10_08,32.0,3.5,Haze
2014_01_10_08,33.1,4.6,Overcast
2014_01_10_08,33.8,Calm,Overcast
2014_01_10_08,33.1,Calm,Light Snow
2014_01_10_09,32.0,Calm,Light Snow
2014_01_10_09,32.0,4.6,Light Snow
2014_01_10_09,32.0,3.5,Light Snow
2014_01_10_10,33.1,4.6,Overcast
2014_01_10_10,33.1,4.6,Light Rain
2014_01_10_10,33.1,3.5,Overcast
2014_01_10_11,33.1,3.5,Overcast
2014_01_10_11,33.8,4.6,Overcast
2014_01_10_11,34.0,4.6,Overcast
2014_01_10_12,34.0,Calm,Overcast
2014_01_10_12,33.8,Calm,Overcast
2014_01_10_12,34.0,3.5,Haze
2014_01_10_13,34.0,Calm,Overcast
2014_01_10_13,35.1,Calm,Haze
2014_01_10_14,35.1,Calm,Overcast
2014_01_10_14,35.1,3.5,Overcast
2014_01_10_15,35.1,3.5,Overcast
2014_01_10_16,35.1,3.5,Overcast
2014_01_10_16,35.1,Calm,Overcast
2014_01_10_17,35.1,3.5,Overcast
2014_01_10_17,35.1,4.6,Overcast
2014_01_10_18,35.1,4.6,Overcast
2014_01_10_18,35.1,3.5,Overcast
2014_01_10_19,37.0,4.6,Overcast
2014_01_10_20,37.0,4.6,Overcast
2014_01_10_21,37.0,4.6,Overcast
2014_01_10_21,36.0,4.6,Overcast
2014_01_10_21,36.0,3.5,Overcast
2014_01_10_22,36.0,3.5,Overcast
2014_01_10_22,35.6,5.8,Overcast
2014_01_10_22,36.0,5.8,Overcast
2014_01_10_23,37.0,4.6,Overcast
2014_01_10_23,37.0,3.5,Overcast
2014_01_11_00,37.0,3.5,Overcast
2014_01_11_01,37.0,3.5,Overcast
2014_01_11_01,37.0,Calm,Light Rain
2014_01_11_02,37.0,5.8,Light Rain
2014_01_11_02,37.9,4.6,Overcast
2014_01_11_02,39.0,3.5,Overcast
2014_01_11_03,42.1,4.6,Overcast
2014_01_11_04,42.1,4.6,Overcast
2014_01_11_04,42.1,3.5,Overcast
2014_01_11_04,46.0,6.9,Light Rain
2014_01_11_05,48.9,8.1,Overcast
2014_01_11_05,48.9,6.9,Overcast
2014_01_11_06,50.0,8.1,Overcast
2014_01_11_06,50.0,5.8,Overcast
2014_01_11_06,51.1,6.9,Overcast
2014_01_11_07,53.1,8.1,Overcast
2014_01_11_08,53.1,5.8,Overcast
2014_01_11_08,53.1,4.6,Overcast
2014_01_11_08,54.0,8.1,Fog
2014_01_11_08,54.0,6.9,Fog
2014_01_11_09,55.0,6.9,Overcast
2014_01_11_09,54.0,8.1,Overcast
2014_01_11_09,53.1,8.1,Fog
2014_01_11_10,53.1,5.8,Light Rain
2014_01_11_10,54.0,9.2,Overcast
2014_01_11_10,55.0,6.9,Overcast
2014_01_11_11,55.9,10.4,Overcast
2014_01_11_12,57.0,9.2,Overcast
2014_01_11_12,55.0,11.5,Overcast
2014_01_11_13,55.0,6.9,Overcast
2014_01_11_13,55.0,8.1,Overcast
2014_01_11_14,55.0,10.4,Overcast
2014_01_11_14,55.9,9.2,Overcast
2014_01_11_15,55.9,8.1,Overcast
2014_01_11_15,55.0,9.2,Overcast
2014_01_11_16,54.0,9.2,Overcast
2014_01_11_16,54.0,5.8,Light Rain
2014_01_11_16,55.9,6.9,Light Rain
2014_01_11_16,57.0,6.9,Overcast
2014_01_11_17,57.0,6.9,Heavy Rain
2014_01_11_17,57.0,6.9,Light Rain
2014_01_11_18,57.0,3.5,Light Rain
2014_01_11_19,57.0,5.8,Overcast
2014_01_11_20,55.0,6.9,Mostly Cloudy
2014_01_11_21,54.0,6.9,Overcast
2014_01_11_22,55.9,10.4,Overcast
2014_01_11_22,55.0,10.4,Overcast
2014_01_11_23,55.9,5.8,Overcast
2014_01_11_23,55.0,8.1,Overcast
2014_01_11_23,54.0,9.2,Overcast
2014_01_11_23,55.0,6.9,Overcast
2014_01_12_00,54.0,-9999.0,Overcast
2014_01_12_00,54.0,4.6,Overcast
2014_01_12_00,53.1,4.6,Light Rain
2014_01_12_00,53.1,8.1,Heavy Rain
2014_01_12_00,53.1,11.5,Light Rain
2014_01_12_00,51.8,11.5,Overcast
2014_01_12_00,52.0,11.5,Light Rain
2014_01_12_01,51.1,10.4,Overcast
2014_01_12_02,50.0,12.7,Overcast
2014_01_12_03,48.0,8.1,Mostly Cloudy
2014_01_12_04,46.0,9.2,Scattered Clouds
2014_01_12_05,45.0,9.2,Partly Cloudy
2014_01_12_06,44.1,5.8,Scattered Clouds
2014_01_12_07,44.1,8.1,Overcast
2014_01_12_08,44.1,8.1,Overcast
2014_01_12_09,45.0,9.2,Overcast
2014_01_12_10,44.1,5.8,Overcast
2014_01_12_11,44.1,8.1,Overcast
2014_01_12_12,44.1,6.9,Overcast
2014_01_12_13,45.0,13.8,Mostly Cloudy
2014_01_12_14,45.0,8.1,Scattered Clouds
2014_01_12_15,45.0,-9999.0,Mostly Cloudy
2014_01_12_16,44.1,6.9,Scattered Clouds
2014_01_12_17,42.1,9.2,Clear
2014_01_12_18,42.1,5.8,Clear
2014_01_12_19,41.0,9.2,Clear
2014_01_12_20,39.0,3.5,Clear
2014_01_12_21,39.0,5.8,Clear
2014_01_12_22,37.9,5.8,Clear
2014_01_12_23,39.0,8.1,Clear
2014_01_13_00,37.9,5.8,Clear
2014_01_13_01,37.9,6.9,Clear
2014_01_13_02,37.0,3.5,Clear
2014_01_13_03,37.0,5.8,Clear
2014_01_13_04,37.0,Calm,Clear
2014_01_13_05,37.9,3.5,Clear
2014_01_13_06,37.0,Calm,Clear
2014_01_13_07,39.9,Calm,Clear
2014_01_13_08,41.0,4.6,Clear
2014_01_13_09,45.0,4.6,Clear
2014_01_13_10,46.9,Calm,Clear
2014_01_13_11,48.0,-9999.0,Clear
2014_01_13_12,50.0,4.6,Clear
2014_01_13_13,48.9,4.6,Clear
2014_01_13_14,50.0,5.8,Clear
2014_01_13_15,50.0,6.9,Clear
2014_01_13_16,48.9,8.1,Clear
2014_01_13_17,48.9,8.1,Clear
2014_01_13_18,48.9,11.5,Clear
2014_01_13_19,50.0,6.9,Clear
2014_01_13_21,48.0,8.1,Clear
2014_01_13_22,48.9,5.8,Clear
2014_01_13_23,50.0,6.9,Clear
2014_01_14_00,48.9,6.9,Clear
2014_01_14_01,48.9,6.9,Clear
2014_01_14_02,48.9,5.8,Scattered Clouds
2014_01_14_03,48.9,4.6,Overcast
2014_01_14_04,51.1,10.4,Overcast
2014_01_14_05,50.0,3.5,Overcast
2014_01_14_06,50.0,3.5,Overcast
2014_01_14_07,48.0,4.6,Light Rain
2014_01_14_08,46.9,6.9,Light Rain
2014_01_14_09,46.9,5.8,Overcast
2014_01_14_10,48.0,4.6,Light Rain
2014_01_14_12,48.0,5.8,Overcast
2014_01_14_13,48.0,Calm,Light Rain
2014_01_14_14,48.0,6.9,Rain
